id,name,service_id,location_id,service_at_location_id,weekday,valid_from,valid_to,dtstart,until,wkst,freq,interval,byday,byweekno,bymonthday,byyearday,description
944132955189687,,980051444166145,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1079995367180066,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1093343173920146,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1178657807139643,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1204018684568425,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1174738273256108,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1257314642932231,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,604818206550536,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,676934928364883,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,680562197957511,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,980051444166145,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1079995367180066,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1093343173920146,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1178657807139643,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1204018684568425,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1174738273256108,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1257314642932231,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,604818206550536,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,676934928364883,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,680562197957511,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,980051444166145,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1079995367180066,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1093343173920146,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1178657807139643,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
944132955189687,,1204018684568425,,,"Monday - Friday",,,10:00AM,3:00PM,,,,,,,,
