ID,id,location_id,accessibility,details
642,6370,6370,"Handicap accessible",
643,6372,6372,"Handicap accessible",
644,6373,6373,"Handicap accessible",
645,6374,6374,"Handicap accessible",
646,6377,6377,"Handicap accessible",
647,6383,6383,"Handicap accessible",
648,6386,6386,"Handicap accessible",
649,6387,6387,"Handicap accessible",
650,6393,6393,"Handicap accessible",
651,6397,6397,,
652,6404,6404,,
653,6412,6412,,
654,6414,6414,,
655,6416,6416,,
656,6417,6417,"Handicap accessible",
657,6418,6418,,
658,6419,6419,,
659,6421,6421,,
660,6424,6424,,
661,6425,6425,,
662,6426,6426,,
663,6430,6430,,
664,6432,6432,,
665,6562,6562,,
666,6565,6565,,
667,6566,6566,,
668,6567,6567,,
669,6578,6578,"Handicap accessible",
670,6580,6580,,
671,6581,6581,,
672,6582,6582,,
673,6583,6583,,
674,6584,6584,,
675,6585,6585,,
676,6586,6586,,
677,6587,6587,,
678,6588,6588,,
679,6591,6591,,
680,6596,6596,,
681,6597,6597,,
682,6598,6598,,
683,6599,6599,,
684,6600,6600,,
685,6601,6601,,
686,6604,6604,,
687,6608,6608,,
688,6609,6609,,
689,6610,6610,,
690,6611,6611,,
691,6614,6614,,
692,6617,6617,,
693,6619,6619,,
694,6620,6620,,
695,6623,6623,,
696,6624,6624,,
697,6625,6625,,
698,6626,6626,,
699,6628,6628,,
700,6629,6629,,
701,6639,6639,,
702,6640,6640,,
703,6642,6642,,
704,6643,6643,,
705,6646,6646,,
706,6648,6648,,
707,6649,6649,,
708,6650,6650,,
709,6651,6651,,
710,6653,6653,,
711,6656,6656,,
712,6658,6658,,
713,6744,6744,,
714,6745,6745,,
715,6746,6746,,
716,6747,6747,,
717,6748,6748,"Handicap accessible",
718,6749,6749,"Handicap accessible",
719,6750,6750,,
720,6751,6751,,
721,6752,6752,,
722,6753,6753,,
723,6755,6755,,
724,6756,6756,,
725,6757,6757,,
726,6758,6758,,
727,6759,6759,,
728,6760,6760,,
729,6761,6761,,
730,6764,6764,,
731,6765,6765,,
732,6767,6767,,
733,6768,6768,,
734,6769,6769,,
735,6770,6770,,
736,6771,6771,,
737,6772,6772,,
738,6773,6773,,
739,6774,6774,,
740,6775,6775,,
741,6777,6777,,
742,6778,6778,,
743,6780,6780,,
744,6781,6781,,
745,6782,6782,,
746,6783,6783,,
747,6785,6785,"Handicap accessible",
748,6787,6787,"Handicap accessible",
749,6788,6788,,
750,6789,6789,,
751,6792,6792,"Handicap accessible",
752,6796,6796,"Handicap accessible",
753,6800,6800,"Handicap accessible",
754,6804,6804,"Handicap accessible",
755,6805,6805,,
756,6806,6806,,
757,6811,6811,,
758,6812,6812,,
759,6813,6813,,
760,6814,6814,"Handicap accessible",
761,6815,6815,"Handicap accessible",
762,6816,6816,"Handicap accessible",
763,6819,6819,,
764,6822,6822,,
765,6823,6823,,
766,6824,6824,,
767,6825,6825,,
768,6826,6826,,
769,6829,6829,,
770,6830,6830,,
771,6831,6831,,
772,6833,6833,,
773,6836,6836,,
774,6842,6842,,
775,6843,6843,,
776,6844,6844,,
777,6845,6845,,
778,6846,6846,,
779,6847,6847,,
780,6848,6848,,
781,6849,6849,,
782,6852,6852,,
783,6853,6853,,
784,6854,6854,,
785,6949,6949,"Handicap accessible",
786,6951,6951,"Handicap accessible",
787,6952,6952,"Handicap accessible",
788,6953,6953,"Handicap accessible",
789,6954,6954,"Handicap accessible",
790,6955,6955,,
791,6956,6956,,
792,6957,6957,,
793,6958,6958,,
794,6960,6960,,
795,6963,6963,"Handicap accessible",
796,6964,6964,,
797,6965,6965,,
798,6966,6966,,
799,6974,6974,"Handicap accessible",
800,6976,6976,,
801,6980,6980,,
802,6982,6982,"Handicap accessible",
803,6983,6983,"Handicap accessible",
804,6984,6984,"Handicap accessible",
805,6985,6985,"Handicap accessible",
806,6986,6986,,
807,6987,6987,,
808,6988,6988,,
809,6989,6989,,
810,6990,6990,,
811,6991,6991,,
812,6992,6992,,
813,6993,6993,"Handicap accessible",
814,6994,6994,"Handicap accessible",
815,6995,6995,"Handicap accessible",
816,6996,6996,"Handicap accessible",
817,6997,6997,,
818,6998,6998,,
819,6999,6999,,
820,7000,7000,,
821,7001,7001,,
822,7002,7002,,
823,7003,7003,"Handicap accessible",
824,7007,7007,,
825,7009,7009,,
826,7010,7010,"Handicap accessible",
827,7011,7011,"Handicap accessible",
828,7015,7015,,
829,7016,7016,"Handicap accessible",
830,7017,7017,,
831,7018,7018,,
832,7021,7021,"Handicap accessible",
833,7024,7024,,
834,7027,7027,,
835,7028,7028,"Handicap accessible",
836,7029,7029,"Handicap accessible",
837,7031,7031,"Handicap accessible",
838,7032,7032,"Handicap accessible",
839,7033,7033,"Handicap accessible",
840,7035,7035,"Handicap accessible",
841,7036,7036,"Handicap accessible",
842,7037,7037,"Handicap accessible",
843,7038,7038,"Handicap accessible",
844,7039,7039,"Handicap accessible",
845,7040,7040,"Handicap accessible",
846,7042,7042,,
847,7155,7155,"Handicap accessible",
848,7163,7163,"Handicap accessible",
849,7165,7165,"Handicap accessible",
850,7169,7169,"Handicap accessible",
851,7171,7171,"Handicap accessible",
852,7179,7179,"Handicap accessible",
853,7180,7180,"Handicap accessible",
854,7181,7181,"Handicap accessible",
855,7182,7182,"Handicap accessible",
856,7186,7186,,
857,7187,7187,,
858,7188,7188,,
859,7189,7189,"Handicap accessible",
860,7190,7190,"Handicap accessible",
861,7192,7192,,
862,7193,7193,,
863,7197,7197,"Handicap accessible",
864,7199,7199,,
865,7203,7203,"Handicap accessible",
866,7204,7204,"Handicap accessible",
867,7206,7206,,
868,7209,7209,,
869,7217,7217,"Handicap accessible",
870,7218,7218,,
871,7219,7219,,
872,7220,7220,"Handicap accessible",
873,7221,7221,,
874,7222,7222,,
875,7223,7223,,
876,7224,7224,,
877,7225,7225,,
878,7226,7226,"Handicap accessible",
879,7227,7227,"Handicap accessible",
880,7228,7228,"Handicap accessible",
881,7229,7229,"Handicap accessible",
882,7230,7230,"Handicap accessible",
883,7234,7234,"Handicap accessible",
884,7235,7235,"Handicap accessible",
885,7238,7238,,
886,7239,7239,"Handicap accessible",
887,7240,7240,"Handicap accessible",
888,7242,7242,,
889,7243,7243,,
890,7246,7246,,
891,7247,7247,,
892,7249,7249,,
893,7251,7251,,
894,7254,7254,"Handicap accessible",
895,7255,7255,,
896,7256,7256,,
897,7257,7257,,
898,7258,7258,,
899,7259,7259,"Handicap accessible",
900,7260,7260,,
901,7261,7261,,
902,7263,7263,,
903,7264,7264,,
904,7265,7265,,
905,7266,7266,"Handicap accessible",
906,7267,7267,"Handicap accessible",
907,7268,7268,"Handicap accessible",
908,7269,7269,"Handicap accessible",
909,7270,7270,"Handicap accessible",
910,7271,7271,,
911,7272,7272,,
912,7273,7273,,
913,7365,7365,"Handicap accessible",
914,7366,7366,,
915,7368,7368,"Handicap accessible",
916,7370,7370,"Handicap accessible",
917,7372,7372,,
918,7377,7377,,
919,7386,7386,,
920,7387,7387,,
921,7388,7388,,
922,7390,7390,,
923,7392,7392,,
924,7393,7393,"Handicap accessible",
925,7394,7394,"Handicap accessible",
926,7395,7395,"Handicap accessible",
927,7396,7396,"Handicap accessible",
928,7397,7397,"Handicap accessible",
929,7398,7398,"Handicap accessible",
930,7399,7399,"Handicap accessible",
931,7401,7401,"Handicap accessible",
932,7402,7402,,
933,7404,7404,,
934,7405,7405,,
935,7407,7407,,
936,7408,7408,,
937,7410,7410,,
938,7415,7415,,
939,7416,7416,,
940,7419,7419,,
941,7422,7422,,
942,7424,7424,,
943,7425,7425,,
944,7426,7426,,
945,7430,7430,,
946,7431,7431,,
947,7432,7432,,
948,7433,7433,,
949,7434,7434,,
950,7437,7437,,
951,7438,7438,,
952,7439,7439,,
953,7443,7443,,
954,7444,7444,,
955,7446,7446,"Handicap accessible",
956,7447,7447,"Handicap accessible",
957,7449,7449,,
958,7450,7450,,
959,7451,7451,,
960,7452,7452,"Handicap accessible",
961,7454,7454,,
962,7455,7455,,
963,7456,7456,"Handicap accessible",
964,7457,7457,"Handicap accessible",
965,7459,7459,"Handicap accessible",
966,7460,7460,"Handicap accessible",
967,7461,7461,"Handicap accessible",
968,7563,7563,,
969,7564,7564,,
970,7565,7565,,
971,7566,7566,,
972,7568,7568,,
973,7569,7569,,
974,7570,7570,,
975,7571,7571,,
976,7575,7575,,
977,7578,7578,,
978,7579,7579,,
979,7580,7580,,
980,7584,7584,,
981,7585,7585,,
982,7586,7586,,
983,7587,7587,,
984,7588,7588,,
985,7589,7589,,
986,7590,7590,,
987,7591,7591,,
988,7592,7592,,
989,7593,7593,,
990,7594,7594,,
991,7595,7595,,
992,7596,7596,,
993,7597,7597,,
994,7598,7598,"Handicap accessible",
995,7599,7599,"Handicap accessible",
996,7600,7600,"Handicap accessible",
997,7602,7602,"Handicap accessible",
998,7603,7603,,
999,7604,7604,,
1000,7605,7605,,
1001,7606,7606,,
1002,7607,7607,"Handicap accessible",
1003,7608,7608,"Handicap accessible",
1004,7612,7612,"Handicap accessible",
1005,7613,7613,"Handicap accessible",
1006,7614,7614,,
1007,7615,7615,,
1008,7616,7616,,
1009,7617,7617,"Handicap accessible",
1010,7621,7621,,
1011,7622,7622,,
1012,7623,7623,,
1013,7624,7624,,
1014,7625,7625,,
1015,7626,7626,,
1016,7627,7627,,
1017,7628,7628,,
1018,7629,7629,,
1019,7630,7630,,
1020,7631,7631,,
1021,7632,7632,,
1022,7633,7633,,
1023,7634,7634,,
1024,7635,7635,,
1025,7636,7636,,
1026,7637,7637,,
1027,7638,7638,,
1028,7639,7639,,
1029,7640,7640,,
