id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at
137,1145687738484263,,,,8:00AM,8:00PM
138,"783798317190015,757050460311671,771378282180941,647361700663696,1336511977669058,656905764489449,1332741706053106",572381295862246,,,"24 Hours",
139,"1153962275208345,807848846460860,611590713528319",,,,1:00PM,3:00PM
140,1203671009935370,1293474810072073,,,8:30AM,6:30PM
141,"850523592271025,1255893170172420,1022185739742814",1090162375763715,,,8:30AM,5:00PM
142,,771897230838212,,,8:00AM,8:00PM
143,"789456565791843,910059099567277,859629175967195,1178096298000358,979536491529478,813064675400914,1299121197634961,818563649469922",,,,9:00AM,5:30PM
144,"956658240049666,929396265497963,803655377623585,845999906983085,944036937200998,1195448583131416,928612911758060,1292756176570822,762888373958688",1199611952924070,,,9:00AM,5:00PM
145,"865371846794230,873921955624383,1084298429662110,605446506944549,1087433575244513,1322260694270949,1238586489770478,1104456609971378,908536708739321,958643940332296,908986332318967,758846747979067,1119090357480675,1055696283461218",,,,9:00AM,5:00PM
146,"607074649518713,1209187247938710",836904778271068,,,7:00AM,6:00PM
147,1122897671715969,,,,4:30PM,6:00PM
148,"1292184415850124,917742641898170",,,,9:00AM,5:45PM
149,843621219939860,1182935368999640,,,9:00AM,5:00PM
150,"1017815111476074,1220271139140877,1092577874332799,1135169686375345",1191890430739322,,,"By appointment",
151,1270127715145648,1251056114217612,,,7:00AM,6:00PM
152,"1088296624271784,871063337645437,1098665459896297,757455042685009",768639914164498,,,12:30PM,6:00PM
153,1145687738484263,,,,10:00AM,2:00PM
154,1311595168931297,987030255962297,,,9:00AM,12:00PM
155,"1192518431630550,794527613963060",,,,11:00AM,2:00PM
156,647808349539409,,,,10:00AM,12:00PM
157,"1108884623053766,1277069302008536",885824420758755,,,8:30AM,5:30PM
158,653858529595915,1229901678210145,,,9:00AM,1:00PM
159,1252929483881761,,,,"Following church service",
160,"730763164086236,1285350837219213,561778285748604",,,,8:00AM,5:00PM
161,801873048546872,,,,5:30PM,6:30PM
162,1285397708822108,,,,"24 Hours",
163,"657179015884472,1134764669826308",685766591979438,,,10:00AM,2:00PM
164,"765387458092097,750465787434275,862423770633741,1234340144717096",1315826372203677,,,"24 hours",
165,,791197553917784,,,10:30AM,6:00PM
166,777481511640778,,,,8:15AM,4:45PM
167,993349225663598,,,,9:00AM,5:30PM
168,928788698938707,897673459565497,,,9:45AM,6:00PM
169,,939050372857166,,,6:00AM,2:00PM
170,"770135966287034,831138417529715,1211572108731192",1116781625364190,,,9:00AM,5:00PM
171,993349225663598,556992607571593,,,9:00AM,6:00PM
172,,835677959674778,,,8:00AM,6:00PM
173,1166512271577678,,,,8:30AM,11:00AM
174,1098750358504732,,,,8:00AM,
175,"730763164086236,1285350837219213,561778285748604",,,,8:00AM,2:00PM
176,642284944498747,,,,12:00PM,5:00PM
177,993349225663598,,,,9:00AM,6:30PM
178,1098880366371154,794544831800797,,,4:00PM,7:00PM
179,"936643241913847,667209917494721,936510517377927,1095230986476849,1195217931217458,775820607481251,870219187741961",,,,9:00AM,5:00PM
180,"1153962275208345,807848846460860,611590713528319",906651913636867,,,11:00AM,7:00PM
181,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",770635363010046,,,9:00AM,2:00PM
182,1318218238602449,793256928193231,,,10:00AM,2:00PM
183,,1220017101351760,,,6:30AM,9:45AM
184,"943023691666873,822081621672598",865063089655254,,,9:00AM,5:00PM
185,"859897161557047,735696343430795,747822750998769,784304581015971",1146632771763115,,,9:00AM,3:30PM
186,653858529595915,880015218951352,,,9:00AM,1:00PM
187,"797834103829212,854051618591377,616081055315775,1140920920771303,1195066035930824,765385785732538,577584068562238,1067731380928038,903665589155441,549681153080082",828792720206018,,,1:30PM,3:30PM
188,"1162907800070547,881403344964972","1150129069386124,1286395778585315",,,9:00AM,4:30PM
189,"1088833752301562,871635119190314,1158010282443707,685821962980238,1249659581366985,1234003496832541,1140318024724985,636733000958441,637918031832415",1159564548417950,,,8:00AM,7:00PM
190,"1174068491618790,642601279257974",,,,9:00AM,12:00PM
191,1134361757901839,856110821321208,,,9:00AM,5:00PM
192,850523592271025,1146632771763115,,,8:30AM,8:00PM
193,,1240567562394258,,,8:30AM,4:30PM
194,1175089962860672,,,,9:00AM,11:00AM
195,"850523592271025,617097787641398,1121979483597520",1000709017081839,,,8:30AM,5:00PM
196,"1213230585541920,1219686317955585,1133165843084453,1052254032756894,1253744104425599,777260696695053,1300660045853572,807525744099302,874199505765345,1187200756463947,943779508068444,1296433586474206,924655410570415,794796274007587,916436632015801,602650991439185",594960886051316,,,7:00AM,11:00AM
197,"978590256683513,647772152541651,647183151936796,1305546200651894,838774263465115,1298309949522497,1128282500996664,883344454564664,948283799474714,875517215179569",931886810745529,,,8:30AM,11:30AM
198,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",770635363010046,,,9:30AM,2:00PM
199,"1198504077729641,796710603642968,954908524616299,1243674394135496,598601043584489,1068357766582058,1281816879491049",,,,9:00AM,5:00PM
200,950151604773646,"956369396938800,956135951962872",,,8:30AM,3:30PM
201,,1199654488652628,,,9:30AM,5:00PM
202,,,,,10:00AM,2:30PM
203,"853798812414411,1108884623053766,1277069302008536",778459456343468,,,8:30AM,5:30PM
204,,964869638930274,,,8:30AM,3:30PM
205,813497895890135,1162558264395905,,,9:30AM,5:00PM
206,931334254553785,,,,9:00AM,12:00PM
207,617081192222015,"818820237164190,1091435530922324",,,9:00AM,11:00AM
208,"920973469831730,1318218238602449,1007199538654431",1133664511724903,,,10:00AM,2:00PM
209,565227181581504,,,,4:00PM,6:00PM
210,,,,,8:00AM,8:00PM
211,"1259349665237657,1189947540122655,969095511875672,1147407982912051,1208776169183354,739078424499970,580520440912412",629348329513757,,,8:00AM,8:00PM
212,1223965805414362,,,,10:00AM,4:30PM
213,896288673327409,,,,12:00PM,
214,"1088833752301562,871635119190314,1158010282443707,685821962980238,1249659581366985,1234003496832541,1140318024724985,636733000958441,637918031832415",1159564548417950,,,8:00AM,8:00PM
215,577390293811162,,,,9:30AM,5:00PM
216,960051770169079,,,,10:00AM,12:00PM
217,1072375211967855,812882827630009,,,5:15PM,5:45PM
218,"937906584225930,961164325265072",,,,9:00AM,11:00AM
219,"1088296624271784,871063337645437,1098665459896297,757455042685009",768639914164498,,,12:30PM,4:00PM
220,768961725734908,,,,8:30AM,7:00PM
221,"1164661927797269,1106419147216738",1282660521731521,,,8:00AM,12:00PM
222,"1244747959773878,1171417382872545",,,,9:00AM,5:00PM
223,"599402007780126,907595418658961,845758882609427,1216556310653957,1180091016211141,984528775573917,586827752329383,789715981823462,915711679952561",,,,8:00AM,5:00PM
224,612611049847328,,,,Nights,Mornings
225,"1259349665237657,1189947540122655,969095511875672,1147407982912051,1208776169183354,739078424499970,580520440912412",1282458965799792,,,8:00AM,8:00PM
226,"940202748401268,813553671875388,806428640646955,1109436994306012,718050681265809,1224083578603659,1214476217655096","647497712481280,1053529725692782,931728525653879",,,9:00AM,5:30PM
227,,1282458965799792,,,8:30AM,9:00PM
228,"838392358604924,1157781613265181",,,,"24 Hours",
229,"978590256683513,647772152541651,647183151936796,1305546200651894,838774263465115,1298309949522497,1128282500996664,883344454564664,948283799474714,875517215179569",931886810745529,,,1:00PM,4:00PM
230,,833655491101686,,,8:30AM,4:30PM
231,727116699390008,629348329513757,,,8:00AM,6:00PM
232,938870799038889,1204227139966741,,,8:00AM,6:00PM
233,775927218674309,,,,9:00AM,11:00AM
234,1237806236278461,938406735971229,,,,
235,"884244585280076,767255821745825,989819878149890,658231090559812,947357493854904,1173963793862866,970377297500925,1107634998787398,1127640457224641,762171918332918,678882337307747,785647685413221,833788770520302",1321118518935089,,,8:00AM,2:00PM
236,"955710918748274,1289508652850921,602724412494897,1106771248483191,893746684671899",,,,10:00AM,3:00PM
237,"980808579975931,797815960840049",931886810745529,,,1:00PM,4:00PM
238,,1289140698414142,,,"24 Hours",
239,1080060911179544,,,,8:30AM,12:00PM
240,605774245554167,1161706256775181,,,9:00AM,5:00PM
241,777479494055010,,,,9:30AM,7:00PM
242,"852851666991889,680052874958118",,,,8:30AM,12:30PM
243,,1154084082448020,,,9:00AM,5:00PM
244,"1224104445658687,1249294483746869,576988108950338",,,,7:00AM,1:00PM
245,"895973468150097,1174727442443930",843095304494507,,,8:00AM,4:00PM
246,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",1002753920993717,,,9:00AM,8:00PM
247,"990258942674234,804988563046565,668729683192909,822297863188980,1108768153867457,784134299150571,607885233270947,1080087105483732",950009053464384,,,10:00AM,2:30PM
248,,964869638930274,,,8:30AM,5:00PM
249,834460550368169,1058560288612968,,,8:30AM,12:00PM
250,"1235636405349063,674557198522049,1122242214354849,910692115764601,774338968156105",868710877316469,,,9:00AM,5:00PM
251,1176014704120176,847752209986828,,,8:30AM,5:00PM
252,1052463055100883,,,,"24 hours",
253,,1235846186580133,,,10:00AM,4:00PM
254,642284944498747,,,,1:00PM,4:00PM
255,1098880366371154,636804178113511,,,10:00AM,12:00PM
256,"667209917494721,1176014704120176,936510517377927,775820607481251",979447652621070,,,8:00AM,5:00PM
257,"838994053401205,1172561205584676,648224105090520,1239721554358448,1052496292978459",1147823510376197,,,9:00AM,5:00PM
258,"635136975520891,605860875832060,1197999240060381,1163350819971430,960651180984847",,,,"24 hours",
259,,1112335428289741,,,8:15AM,3:15PM
260,"615988503257217,1280256361717353,918238055415108,1028365853402776,1035362732313948,586062612640149,924435449967844,966657126572943,767682966554088,948956237360164",1282458965799792,,,8:00AM,6:00PM
261,,602791638266539,,,8:30AM,4:00PM
262,1298050850536077,,,,10:00AM,2:00PM
263,,1199654488652628,,,9:00AM,7:00PM
264,"884244585280076,767255821745825,989819878149890,658231090559812,947357493854904,1173963793862866,970377297500925,1107634998787398,1127640457224641,762171918332918,678882337307747,785647685413221,833788770520302",1321118518935089,,,8:00AM,8:00PM
265,1098880366371154,1340365653627144,,,2:00PM,5:00PM
266,"1273613208251491,786302163414865",1246140596600748,,,10:00AM,8:00PM
267,,694216969315685,,,8:00AM,4:30PM
268,"647232963972591,1114943570667214",,,,11:00AM,1:00PM
269,"1088296624271784,871063337645437,1098665459896297,757455042685009",1052799655566995,,,10:00AM,1:30PM
270,,,,,6:00AM,2:00PM
271,1106825602268001,"1282604214927911,812651859569539",,,"24 Hours",
272,"775111969675006,836738857450646,937486843530248,911181735974447",994012462825446,,,10:30AM,4:00PM
273,"632654541686281,923438177610839,881381167741606",947434898715713,,,6:30AM,6:00PM
274,"859897161557047,747822750998769,1121979483597520",1000709017081839,,,8:30AM,5:00PM
275,,1108000021700211,,,9:00AM,1:00PM
276,1201397185768590,,,,9:00AM,12:30PM
277,"906107564923489,1282973947484780",1295311939008541,,,9:00AM,6:00PM
278,1267727721478414,1090162375763715,,,9:00AM,3:30PM
279,946406110593174,806538913069520,,,9:00AM,5:00PM
280,"858697878378487,943922015489393,787765929715080",884179044911706,,,9:00AM,5:00PM
281,"1108884623053766,1277069302008536",835499994326344,,,8:30AM,5:30PM
282,981580900656027,,,,7:00PM,7:00AM
283,"1048327823635547,895703387545823",688746232722666,,,9:30AM,5:30PM
284,"1140570813901169,627629263527494,1243832082519507,705771849785076,841132371028942,581022793280171",947853021041099,,,5:00PM,
285,651504031814159,,,,2:00PM,4:00PM
286,1337570408700851,644198517647426,,,9:00AM,5:00PM
287,964012421803449,,,,9:00AM,5:00PM
288,943841633351922,1262159504249540,,,11:00AM,3:00PM
289,777479494055010,,,,9:30AM,4:30PM
290,,992745211312122,,,8:30AM,4:30PM
291,1318218238602449,793256928193231,,,6:00PM,8:00PM
292,"1210007334289332,832898052878964,645815813705213,1178673163145313,1119572087741816,994497447759686,1070895654294162,1182990804618783,1244196225355763,590895767819582,1096928318806733,646395612481753",911858349594317,,,9:00AM,5:00PM
293,"1172793580060024,569770427910971,1229131972445514,1311031611561841,1086482131081597,688871630742360,1166105214343141","1282997809596504,608497828316445",,,9:00AM,5:00PM
294,,,,,6:00PM,8:00PM
