"taxonomy_recordid","taxonomy_type_recordid"
"1066385747698739","629864383953331"
"1250306771464311","629864383953331"
"581353506116751","629864383953331"
"768436819350180","629864383953331"
"796915569268030","629864383953331"
"1305160187087770","629864383953331"
"841905613386238","629864383953331"
"614856429001096","629864383953331"
"605525374389695","629864383953331"
"841837312375321","629864383953331"
"933354645704301","629864383953331"
"1165536100757865","629864383953331"
"788769915367979","629864383953331"
"1075517820799112","629864383953331"
"955005533722335","629864383953331"
"899387596744807","629864383953331"
"1132205886737577","629864383953331"
"1294707318379665","629864383953331"
"784648110042335","629864383953331"
"1093285148289911","629864383953331"
"1090773917009436","629864383953331"
"1096677816677257","629864383953331"
"651505477242802","629864383953331"
"1317833415134279","629864383953331"
"938367961957346","629864383953331"
"785129242888069","629864383953331"
"1270273494511913","629864383953331"
"1175992028688784","629864383953331"
"1108462493888752","629864383953331"
"1275226911657115","629864383953331"
"950245001314883","629864383953331"
"645461517765550","629864383953331"
"1178144711860898","629864383953331"
"572968199086902","629864383953331"
"806935508227949","629864383953331"
"659632323521459","629864383953331"
"1239874792988551","629864383953331"
"1136595274223757","629864383953331"
"884987017087539","629864383953331"
"558824191766154","629864383953331"
"1202929295897319","629864383953331"
"1110183826221887","629864383953331"
"1268047549889803","629864383953331"
"888406512340629","629864383953331"
"1187711875770801","629864383953331"
"1085119813885923","629864383953331"
"1145222996317036","629864383953331"
"783311630722085","629864383953331"
"929417499509486","629864383953331"
"570784632226026","629864383953331"
"1235791902856617","629864383953331"
"625531295881156","629864383953331"
"1312289963424379","629864383953331"
"685166122503637","629864383953331"
"585766741363639","629864383953331"
"1073823868791019","629864383953331"
"1151454077163181","629864383953331"
"1177111110322568","629864383953331"
"1109050320464215","629864383953331"
"1247837810727455","629864383953331"
"1275047956986417","629864383953331"
"1094588998993813","629864383953331"
"734670676387012","629864383953331"
"834039463355775","629864383953331"
"897715506052490","629864383953331"
"1118871438435285","629864383953331"
"878852836579488","629864383953331"
"697638961326982","629864383953331"
"611900221673856","629864383953331"
"812704423326314","629864383953331"
"627746874732291","629864383953331"
"636447730830237","629864383953331"
"1074032646839342","629864383953331"
"737537161640597","629864383953331"
"877937700279294","629864383953331"
"1058404973355262","629864383953331"
"1264933912391853","629864383953331"
"832122112723102","629864383953331"
"609371925193152","629864383953331"
"879394671891223","629864383953331"
"798186602850839","629864383953331"
"958152786056493","629864383953331"
"892692765580900","629864383953331"
"1220856468927684","629864383953331"
"1227850736574062","629864383953331"
"605208083376697","629864383953331"
"776143467926804","629864383953331"
"783597762112560","629864383953331"
"1242214655871530","629864383953331"
"843205605632982","629864383953331"
"1214335604458778","629864383953331"
"878273983731439","629864383953331"
"614151082454075","629864383953331"
"1212391318294489","629864383953331"
"792078943886000","629864383953331"
"800876057594945","629864383953331"
"618691115838629","629864383953331"
"593237921884807","629864383953331"
"1258027825566899","629864383953331"
"1124325593515504","629864383953331"
"1162615473559789","629864383953331"
"1271813480007680","629864383953331"
"1301032500412497","629864383953331"
"860844756602444","629864383953331"
"1258540708084959","629864383953331"
"870724737216726","629864383953331"
"1170076693192466","629864383953331"
"797839516590040","629864383953331"
"950554442307560","629864383953331"
"787900585077931","629864383953331"
"641029949613661","629864383953331"
"1287117316578391","629864383953331"
"777959161914567","629864383953331"
"1249190270484337","629864383953331"
"1251956061226331","629864383953331"
"871490711325090","629864383953331"
"935458216016910","629864383953331"
"596924298833594","629864383953331"
"1194411727565835","629864383953331"
"939814378938335","629864383953331"
"969962996187719","629864383953331"
"828376330034249","629864383953331"
"1203472306779632","629864383953331"
"642400689111037","629864383953331"
"980955652303843","629864383953331"
"1131650922551092","1081834932991779"
"895304866977482","1081834932991779"
"874406320909098","1081834932991779"
"1139810782747688","1081834932991779"
"1212005456553071","1081834932991779"
"913953119512423","1081834932991779"
"984305979777658","1081834932991779"
"764795942886475","1081834932991779"
"610184557880193","1081834932991779"
"1265252182873860","1081834932991779"
"1010831804503850","1081834932991779"
"1091485627676359","1081834932991779"
"1150913699729234","1081834932991779"
"1280079717530714","1081834932991779"
"897677147477296","1081834932991779"
"990781435512013","1081834932991779"
"1141891580359737","1081834932991779"
"625144853335827","1081834932991779"
"645135888577674","1081834932991779"
"969755667750581","1081834932991779"
"1236006820299718","1081834932991779"
"982549491856586","1081834932991779"
"683587755864681","1081834932991779"
"986852647663353","1081834932991779"
"911240657187696","1081834932991779"
"1198680311005259","1081834932991779"
"763679390726230","1081834932991779"
"1167028395080754","1081834932991779"
"1276982655382389","1081834932991779"
"854830167797217","1081834932991779"
"824666532982332","1081834932991779"
"918424242217476","1081834932991779"
"1105790653470604","1081834932991779"
"1300476128041301","1081834932991779"
"817592898756695","1081834932991779"
"1220495166628256","1081834932991779"
"1165502705771556","1081834932991779"
"810369209316339","1081834932991779"
"996413864069591","1081834932991779"
"1227942560636724","1081834932991779"
"1102140378766615","1081834932991779"
"820647015810178","1081834932991779"
"788823167088366","1081834932991779"
"950583367157610","1081834932991779"
"575795542893271","1081834932991779"
"1236262310782567","1081834932991779"
"782075910643026","1081834932991779"
"835784500825827","1081834932991779"
"989050742720214","1081834932991779"
"1351267360227141","1081834932991779"
"1180656577057246","1081834932991779"
"938191190087284","1081834932991779"
"1136150527583896","1081834932991779"
"1155997108133074","1081834932991779"
"915117964681420","1081834932991779"
"1167164301148859","1081834932991779"
"1118011435663674","1081834932991779"
"1199793395531430","1081834932991779"
"1138294006521405","1081834932991779"
"896905506493054","1081834932991779"
"874243235517809","1081834932991779"
"635867221571587","1081834932991779"
"615363042499687","1081834932991779"
"778256962802905","1081834932991779"
"848192563052259","1081834932991779"
"819562758416858","1081834932991779"
"1129130692803244","1081834932991779"
"1216482483200020","1081834932991779"
"847224100195290","1081834932991779"
"931128613729617","1081834932991779"
"1220542269239390","1081834932991779"
"943793802429235","1081834932991779"
"745675631776034","1081834932991779"
"632610616201449","1081834932991779"
"853451313072900","1081834932991779"
"784550372225263","1081834932991779"
"1182573370009691","1081834932991779"
"833374944686291","1081834932991779"
"652121067639768","1081834932991779"
"646077810643985","1081834932991779"
"558854491640759","1081834932991779"
"799449709919727","1081834932991779"
"832401246252623","1081834932991779"
