id,service_id,taxonomy_id,taxonomy_detail
19565,6792,LH-6600,
19566,6792,LF-5280.1500,
19567,6792,LF-4800,
19568,7021,LF-4900.2000-900,
19569,7021,LR-8000.0500,
22462,8195,PH-1000,
19571,7021,LH-6600,
19572,7021,LV-1600,
19573,7021,LF-5280.1500,
19574,7021,LF-4800,
19575,7003,PN-8100.1000,
19576,7003,RX-8250.0550,
19577,3806,FL-5000,
19578,7027,FL-5000,
19579,2084,FN-1500,
19580,2090,LT-1750.1500,
19581,5397,ND-2000.1500-120,
19582,5397,PH-6200.4500,
19584,5397,PS-9800.9900,
19585,5845,PH-6200.4500,
19586,1756,TJ-3000.8000,
19587,6316,LH-6700.6250,
19588,7033,PL-7400.5500,
19589,7033,PS-9800.9900,
19590,7042,FP-0500.3500,
19591,7042,LH-2700.1700,
19592,7042,PH-1000,
20569,3320,LF-4800,
19594,5395,LH-2700.9500,
19595,5395,LV-6000.2550,
19598,5395,LJ-2000,
19599,5395,LN-1500,
20678,7163,FP-0500.3500,
19600,7048,LF-4900.1650,
20679,7163,PX,
20691,5877,BD-5000.8500,
21148,7861,TB-0900.0650-060,
21170,3672,LV-1600.1300-150,
21171,3672,LV-1600.1300-200,
21172,3672,LV-1600.2400,
19601,7048,LF-4900.5000,
19603,1083,LL-3000.1500,
19604,4070,LH-2700.2500,
19605,4070,LH-2700.9500-100,
19606,1415,TA-5500.3000-300,
19607,3423,TB-0900,
19608,3646,LH-5000,
19609,1376,LR-1570.0500,
19610,1376,LR-1570.8400,
19611,1376,LR-1570.8500,
19612,1376,LT-1750.0600,
19613,1376,LT-1750.9550,
19614,1376,LT-6600,
19615,3339,RF-3300,
19616,3339,RF-2000,
19617,3339,RF-2500,
19618,4042,PH-1000,
19619,4042,PH-1400.5000-100,
19620,4042,RP-1500.3300,
19621,3340,PH-1000,
19622,53,DD-1500,
19623,53,DD-2100.1000,
19624,53,DF-7000,
19625,143,FN-1900.2500,
19626,143,FN-1900.1500,
19627,144,FN-1900.2500,
19628,144,FN-1900.1500,
19629,7677,PH-1250.1800,
19630,7677,HL-8700.3000,
19631,7677,HL-8700.8000,
19632,7677,RD-1000,
19633,7677,PS-9800.9900,
21491,7968,LV-2600,
9990,5629,PV-3300.5000,
22463,8195,RP-5000.5000-260,
19636,7678,PH-1250.1800,
19642,7681,NL-5000.5000,
19643,1834,PH-0300.0400,
19644,2220,FT-1800.1850,
19647,3167,TB-0900.1000-800,
19648,3817,FL-3000,
19649,593,LT-3400.1500,
19641,7680,RF-2000,
19640,7680,RF-3300,
20576,3109,BH-8400,
20580,6266,PN-8100.1000-300,
20581,6266,PX,
20583,3546,JD-1500.9600-950,
21173,3672,LV-1600.6350,
21185,7872,FN-1500.2570,
21427,7948,PS-9800.9900,
21428,7949,HL-8700,
21429,7949,PH-1250.1800,
21430,7949,PL-7000.8900-100,
21431,7949,PL-7000.8900-800,
21432,7949,PL-7000.8900-900,
21433,7949,PL-7400.0500-260,
21434,7949,PL-7400.1700,
21435,7949,PS-9800.9900,
21501,7974,PH-1250.1800,
21502,7974,PL-6400.1500-820,
25555,8997,PL-6400.1500-820,
21506,7976,PL-6400.1500-820,
21518,7980,PH-1250.1800,
21521,7980,PS-9800.1000,
21522,7981,PH-1250.1800,
22135,8109,LJ-5000.5250,
22136,8109,LJ-5000.1700-050,
21525,7981,PS-9800.1000,
21526,7982,PH-1250.1800,
21528,7982,PS-9800.1000,
21529,2859,PL-6400.1500-820,
21535,878,PL-7400.0500-260,
21536,874,LV-2400.6350,
21537,7984,LT-1750.0500,
21538,7985,LT-1750.0500,
21539,7986,LT-1750.0500,
21540,6896,TH-2100,
21544,1278,PH-6100.6800,
21545,1278,RF-1500,
21546,1278,RF-2000,
21547,1278,RF-3300,
