id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at,original_text
,8391,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8391,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8392,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8392,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8392,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8392,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8392,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8393,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8393,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8393,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8393,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8393,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8394,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8394,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8394,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8394,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8394,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8395,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8395,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8395,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8395,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8395,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8399,,,Monday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8399,,,Tuesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8399,,,Wednesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8399,,,Thursday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8399,,,Friday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8400,,,Monday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8400,,,Tuesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8400,,,Wednesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8400,,,Thursday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8400,,,Friday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8401,,,Monday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8401,,,Tuesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8401,,,Wednesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8401,,,Thursday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8401,,,Friday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8402,,,Monday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8402,,,Tuesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8402,,,Wednesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8402,,,Thursday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8402,,,Friday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8403,,,Monday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
,8403,,,Tuesday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
,8403,,,Wednesday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
,8403,,,Thursday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
,8403,,,Friday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
,8404,,,Monday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
,8404,,,Tuesday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
