id,service_id,taxonomy_id,taxonomy_detail
7939,2693,BH-8400.6000-280,
7940,2693,BH-8400.6000-350,
7941,1402,PX-7000.7000,
7947,546,PL-7400.1550,
7948,546,PS-9800,
7949,546,PX,
7950,1106,PX-1850.4000-030,
7962,1334,BH-3900.3050-180,
7963,1336,BH-7000.4600-450,
7973,4392,HD-0500.1700,
7975,4394,TJ-3000.8000,
7976,4396,PH-1250.1800,
7977,4396,PL-7000.5800-870,
18161,3603,BT-4500.4500,
7979,964,BT-4500.6500-170,
8088,4427,DM-1800.2000,
8017,135,TD-1600.3100-160,
8019,135,FT-1800,
8022,308,RP-5000.5000-050,
15617,294,LH-2700.1700,
15618,294,TJ-3000.8000,
15619,294,TJ-6500,
15620,2105,FT-3600.1500,
15621,2105,FN-1500.2560,
15622,5791,TJ-3000.8000,
8033,4418,LF-4900.2000,
8034,4418,LF-4900.2150,
8035,4418,LF-4900.4500,
8036,4418,LF-4900.8600,
8037,4418,LF-5280,
8038,4418,LH-3500,
8039,4418,LJ-2000.6750,
8040,4418,LT-3400.1500,
8041,4418,LV-6800,
15628,2599,PS-8200.5000-250,
8059,4421,PH-1250.1800,
18164,2525,RF-3300,
8085,4427,DM-1800.1700,
8086,4427,BH-3700.3000,
8091,2255,TJ-3000.8500-850,
16110,4276,RP-6400.8000-660.15,
8115,1002,LH-6300.9500,
8116,1002,PX,
8135,440,FT-3000.1600,
8301,4486,PH-1000,
8302,4486,TJ-6500.6300,
8303,4486,TJ-3000,
8308,837,RF-3300,
8309,837,RF-2000,
8310,837,RP-1500,
8311,837,LH-6700.6400,
8312,840,TJ-6500,
8313,840,TJ-3000,
20509,4424,RP-1400.8000-070,
20510,4424,RP-1400.8000-100,
20511,4424,RP-5000,
20512,4424,RX-8450.1150,
22454,8194,LN-1500,
20717,799,BH-8400.6000-840,
20718,798,RM-7000.0500,
18214,6599,TD-1100.1400,
18219,6611,TD-1100.1400,
18220,6611,PH-2360.2400,
20513,6734,PH-1250.1700,
20514,6735,PH-1250.1700,
20515,6736,PH-1250.1700,
20516,7742,DD-1500.4150-450,
20517,7742,DD-1500.4280-600,
20518,7742,FT-4950,
20519,7742,PX-1850.4000-030,
20520,2654,RF-3300,
20521,6471,PS-9800.9900,
12699,6546,PX,
22082,6510,HL-2000.8000,
12709,5186,NL-6000.9500,
12710,3483,NL-6000.9500,
12716,6253,TD-1100.1400,
12719,6554,PL-7400.1500,
12722,6557,BH-3800.7000,
12726,6559,ND-6500,
20662,7752,LJ-8000.8500,
20665,3171,BH-3500.3400-250,
22083,6510,LF-7000.1700,
