id,name,service_id,location_id,service_at_location_id,weekday,valid_from,valid_to,dtstart,until,wkst,freq,interval,byday,byweekno,bymonthday,byyearday,description,opens_at,closes_at
655172898058082,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",935391639326831,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,,,
655172898058082,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",1222212212143407,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,,,
655172898058082,"Mary's Center - Adams Morgan DC - Medical Hours - Monday, Wednesday, Friday",1330210073954058,1146850101014457,,"Monday, Wednesday, Friday",,,8:00AM,6:00PM,,,,,,,,,,
823973485555901,"Mary's Center - Adams Morgan DC - Medical Hours - Tuesday, Thursday",771415038083007,1146850101014457,,"Tuesday, Thursday",,,8:00AM,8:00PM,,,,,,,,,,
823973485555901,"Mary's Center - Adams Morgan DC - Medical Hours - Tuesday, Thursday",927583086660595,1146850101014457,,"Tuesday, Thursday",,,8:00AM,8:00PM,,,,,,,,,,
823973485555901,"Mary's Center - Adams Morgan DC - Medical Hours - Tuesday, Thursday",935391639326831,1146850101014457,,"Tuesday, Thursday",,,8:00AM,8:00PM,,,,,,,,,,
823973485555901,"Mary's Center - Adams Morgan DC - Medical Hours - Tuesday, Thursday",1222212212143407,1146850101014457,,"Tuesday, Thursday",,,8:00AM,8:00PM,,,,,,,,,,
823973485555901,"Mary's Center - Adams Morgan DC - Medical Hours - Tuesday, Thursday",1330210073954058,1146850101014457,,"Tuesday, Thursday",,,8:00AM,8:00PM,,,,,,,,,,
838708297516494,"ERFSC Friday",1236034161171034,,,Friday,,,8:30AM,5:00PM,,,,,,,,,,
892899945913453,"Mary's Center - Petworth Health Center - Medical - Tuesday, Thursday, Friday, Saturday",771415038083007,1202618027693441,,"Tuesday, Thursday, Friday, Saturday",,,8:00AM,6:00PM,,,,,,,,,,
892899945913453,"Mary's Center - Petworth Health Center - Medical - Tuesday, Thursday, Friday, Saturday",927583086660595,1202618027693441,,"Tuesday, Thursday, Friday, Saturday",,,8:00AM,6:00PM,,,,,,,,,,
892899945913453,"Mary's Center - Petworth Health Center - Medical - Tuesday, Thursday, Friday, Saturday",935391639326831,1202618027693441,,"Tuesday, Thursday, Friday, Saturday",,,8:00AM,6:00PM,,,,,,,,,,
892899945913453,"Mary's Center - Petworth Health Center - Medical - Tuesday, Thursday, Friday, Saturday",1222212212143407,1202618027693441,,"Tuesday, Thursday, Friday, Saturday",,,8:00AM,6:00PM,,,,,,,,,,
892899945913453,"Mary's Center - Petworth Health Center - Medical - Tuesday, Thursday, Friday, Saturday",1330210073954058,1202618027693441,,"Tuesday, Thursday, Friday, Saturday",,,8:00AM,6:00PM,,,,,,,,,,
